barcode09,2311909
barcode10,2314110
barcode08,2653082
barcode11,3136772
barcode16,3731720
barcode12,3527919
barcode18,3858107
barcode17,3908227
barcode20,4686672
barcode13,5253505
barcode19,3168716
barcode06,2041737
barcode07,3083704
barcode15,4679346
barcode14,4315223
barcode02,2036562
barcode01,2066290
barcode05,2100704
barcode03,1870235
barcode04,2325647
barcode21,3428502
barcode03,1870235
barcode05,2100704
barcode04,2325647
barcode02,2036562
barcode06,2041737
barcode01,2066290
barcode08,2653082
barcode11,3136772
barcode12,3527919
barcode19,3168716
barcode16,3731720
barcode13,5253505
barcode15,4679346
barcode07,3083704
barcode10,2314110
barcode18,3858107
barcode09,2311909
barcode20,4686672
barcode14,4315223
barcode21,3428502
barcode17,3908227
